cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
5,15,0.163647896933,0.16353158929,0.16485127644,0.163251017293
6,15,0.128290916242,0.128194031895,0.127987928876,0.127439955886
7,15,0.131118473093,0.133770662405,0.127057293855,0.130783644299
8,15,0.136559335401,0.139816977084,0.14106129528,0.137352132924
9,15,0.192000661901,0.187355149664,0.185419261795,0.184547329488
10,15,0.216243305683,0.217343908045,0.218230731604,0.222261825644
11,15,0.251225342516,0.255279965282,0.253149328861,0.256358185292
12,15,0.251102546804,0.267811249472,0.265314941661,0.266334955382
13,15,0.169107700529,0.180488775182,0.175037117528,0.175414646963
14,15,0.199517982031,0.211165503903,0.199815153653,0.195540430964
15,15,0.1926863757,0.193422641627,0.193717626237,0.184911377166
16,15,0.176660941641,0.176356931611,0.175096912223,0.166222824227
17,15,0.196289789513,0.199384783882,0.19120269453,0.184131485931
18,15,0.196633570217,0.202616377497,0.23077297896,0.225315735697
19,15,0.224229605891,0.174295362293,0.211774476901,0.181557260667
20,15,0.182386954926,0.164097514911,0.1796200117,0.198463822321
21,15,0.167441158214,0.161723062572,0.150959993319,0.155292124374
22,15,0.157888793694,0.168532037337,0.162698697557,0.162918940975
23,15,0.180217522813,0.164957387951,0.203814658712,0.239526664274
24,15,0.244997033659,0.270530771244,0.209147206452,0.258153510584
25,15,0.150431558492,0.154471159261,0.158733034308,0.142592424272
26,15,0.307409946818,0.292390544831,0.301805053507,0.305362653103
27,15,0.201655189488,0.217095550791,0.198405201439,0.164599668333
28,15,0.187012082684,0.195281770764,0.210527942701,0.193875183211
29,15,0.164442482707,0.139765510595,0.158729747887,0.129881280174
30,15,0.106467969669,0.130612918885,0.121207471421,0.117221144363
31,15,0.111967082819,0.115069098825,0.103738521645,0.135449280314
32,15,0.12693234643,0.132045699913,0.124986693365,0.124964903768
33,15,0.210085597634,0.199928868563,0.213383231126,0.153601596526
34,15,0.219350202447,0.226033371493,0.219274875151,0.22159838396
35,15,0.321863786103,0.333583379349,0.330553176701,0.31545674805
36,15,0.321905354977,0.291013857545,0.317178798345,0.330022323518
37,15,0.222824067994,0.230404786082,0.23140311174,0.2285534941
38,15,0.235496697915,0.233335224777,0.246290270519,0.239896188249
39,15,0.261062111658,0.255681094031,0.28201203421,0.26302431789
40,15,0.323737332603,0.330165803511,0.327784615131,0.318459549415
41,15,0.330731321108,0.326789321207,0.330853083788,0.330731534692
42,15,0.166759521434,0.168168905855,0.166796902853,0.183382659804
43,15,0.152020208225,0.150084928619,0.155904988784,0.157074375624
44,15,0.19257637174,0.199254549932,0.188163702988,0.200777358418
45,15,0.19760753511,0.19110979339,0.195661576484,0.195179127138
46,15,0.170317527728,0.164520990543,0.180255641805,0.174885512973
47,15,0.137309784492,0.130975251359,0.134404585787,0.133423347864
48,15,0.151518559071,0.152611764152,0.148037947282,0.136348888415
49,15,0.1263114985,0.117516665523,0.134647949372,0.133961175431
50,15,0.148024932125,0.12858237169,0.144660551017,0.131148731538
51,15,0.156215569218,0.149861283591,0.156791800502,0.15546338045
52,15,0.117297024852,0.102765421888,0.124798686128,0.112445413546
53,15,0.169910335712,0.163758703723,0.177873896271,0.15539765925
54,15,0.128235035035,0.123235328691,0.124397716279,0.119255813288
