cycle,count,mae,rmse
5,30,3.32323820711,4.13487546627
6,30,3.38481372213,4.22100752609
7,30,4.08530562615,4.93058510436
8,30,4.06951797373,4.99254326755
9,30,4.24111825007,4.92052553633
10,30,3.5555423816,4.39687181214
11,30,3.9427676069,4.6935912772
12,30,3.44457860949,4.30533178668
13,30,3.43496174388,4.22286634865
14,30,3.19660014025,4.01735885442
15,30,3.27926118725,3.80508264825
16,30,3.61130899621,4.180568395
17,30,3.95019338473,4.58910460459
18,30,4.2616376562,5.09331391549
19,30,3.22415486884,3.94322345386
20,30,2.70776832899,3.31222462904
21,30,2.96904326117,3.60215814875
22,30,2.10345261417,2.87343924551
23,30,1.94232865037,2.49859169005
24,30,2.45929781938,3.25587806387
25,30,2.28064981608,3.08446814459
26,30,3.05772206239,3.83011223275
27,30,2.71721315652,3.35841402724
28,30,2.23548863373,2.81952778276
29,30,2.77706454516,3.28556965226
30,30,2.35031487891,2.93060449307
31,30,3.53689387697,4.74497919999
32,30,2.96837992684,3.81066297876
33,30,3.01509394992,3.7448979786
34,30,2.91581651853,3.41657223922
35,30,3.01645135066,3.75633203235
36,30,3.50826083747,4.2623720357
37,30,2.84645106137,3.60050832918
38,30,3.03811615177,3.86240404605
39,30,5.05388002528,5.71608969615
40,30,3.69054439541,4.2169790538
41,30,3.96436908358,4.51430989956
42,30,3.02054542652,3.61235156951
43,30,3.07184956184,3.74973608081
44,30,2.66222184535,3.35345209782
45,30,3.36268128189,4.05947022804
46,30,2.56855323922,3.36812848515
47,30,1.99052631148,2.39005424222
48,30,2.9401206345,3.65600101909
49,30,2.85028152447,3.37632908487
50,30,1.93364337947,2.517604888
51,30,2.14401293891,2.80833336963
52,30,1.76228930352,2.28025200458
53,30,2.8993263407,3.26814274364
54,30,2.12733178197,2.59109436037
55,30,2.39146455143,2.775425242
56,30,2.08846523394,2.63442786278
57,30,2.75638670443,3.41163883782
58,30,3.29956539491,4.19425610709
59,30,2.92693779276,3.65346971559
60,30,2.96633167415,3.87515519218
61,30,2.84828292053,3.49777003578
62,30,3.26679888828,3.90553414786
63,30,3.06091484529,3.75789363664
64,30,3.36947834469,4.08740914513
65,30,3.17839033812,4.08043367183
66,30,3.04063216147,3.62597408243
67,30,3.32064187609,4.24887130806
68,30,2.16356327001,2.70566033561
69,30,2.3125464102,3.02522233601
70,30,2.25610443951,2.69812058409
71,30,2.10882336746,2.6428241772
72,30,2.01665953554,2.60778422766
73,30,1.9868404939,2.51644713807
74,30,2.33289170266,3.06516726876
75,30,2.0934053743,2.63630767499
76,30,2.71608303897,3.28093157572
77,30,2.09842121689,2.63283786194
78,30,2.40456833872,2.80681524327
79,30,2.26159222329,2.70019031455
80,30,1.60501340313,2.0218674455
81,30,2.28249862823,2.82356496873
82,30,2.50089545095,3.20658967405
83,30,2.64332741243,3.40928538016
84,30,2.04329061656,2.81220499819
85,30,2.52899142259,3.40392327208
86,30,2.85471100169,3.53776942509
87,30,3.18855036969,3.86658827939
88,30,2.35704767172,3.03486462238
89,30,3.18818865923,4.01633575952
90,30,2.85207002568,3.80023573694
91,30,2.8382728439,3.85030931727
92,30,2.957896831,3.81817181327
93,30,2.8967226476,3.79265051324
94,30,2.04151270994,2.48163145263
95,30,2.57416300199,3.05944434404
