cycle,count,mae,rmse
24,30,2.0047508576,2.69343017328
25,30,1.82957671172,2.33367592238
26,30,1.55338765247,1.88981721618
27,30,1.99257212401,2.53239131571
28,30,2.1408805524,2.68643287326
29,30,1.83433615403,2.24122548967
30,30,1.90940050273,2.30496482814
31,30,2.63927735483,3.80039369347
32,30,3.39622726255,4.41990961864
33,30,2.4615929358,3.03440662026
34,30,2.40261937756,3.00794955267
35,30,2.11484938309,2.80360007529
36,30,2.54751834959,3.28176342028
37,30,2.33312136778,3.51907110339
38,30,3.31361693741,4.47734968556
39,30,2.72472236324,3.68696377617
40,30,2.93594394539,3.86761548085
41,30,3.20239927932,4.0986216591
42,30,2.99094109509,3.81873345311
43,30,2.9322834734,3.79238131035
44,30,2.95112282606,3.6512521661
45,30,2.22273621495,2.86234931073
46,30,2.7768737035,3.41243845583
47,30,1.85624288667,2.22363222948
48,30,1.4803635378,1.97144063735
49,30,1.87856210036,2.30240022893
50,30,1.94100801688,2.2256614289
51,30,1.8256137248,2.27436909144
52,30,1.88418233677,2.28511296148
53,30,1.92085666023,2.23829321237
54,30,1.68580097416,2.05733757254
55,30,1.82751497723,2.16449259959
56,30,2.06607648191,2.65279146794
57,30,3.43930174233,4.37019211267
58,30,2.63244942178,3.38595587542
59,30,2.81487486237,3.44143172697
60,30,2.38176673722,3.35879155695
61,30,2.16985917707,2.99177736417
62,30,2.18286695965,2.94489794973
63,30,2.60498529822,3.7639766187
64,30,2.21643666811,3.17621395486
65,30,2.41676182339,3.43417787276
66,30,3.09164063683,3.83028173729
67,30,2.43821426356,3.29351448948
68,30,1.41487045463,1.86227042745
69,30,2.32129874949,3.02173012077
70,30,1.82579090037,2.25333672527
71,30,1.65519524327,1.89225179353
72,30,1.5875147117,2.02005174725
73,30,1.44052948807,1.8509399101
74,30,2.23164217401,2.9260730168
75,30,1.93723990144,2.19425918995
76,30,2.23954270145,2.77841222612
77,30,2.10115262076,2.43269825831
78,30,1.68516128971,2.02745868775
79,30,1.46126857504,1.78688759221
80,30,1.39699122602,1.85521320084
81,30,1.78363578893,2.54195710023
82,30,2.05092102801,2.66888160805
83,30,3.0180861263,3.42928104525
84,30,2.10664510154,2.91675874714
85,30,2.03304363638,2.68425482302
86,30,1.97277821162,2.96909412582
87,30,2.94805494539,4.00291774352
88,30,2.47113691596,3.62726776347
89,30,2.73992962391,3.87454753307
90,30,2.62258570293,3.73323426341
91,30,2.74136182006,3.98623017809
92,30,2.47815287055,3.46764870706
93,30,2.73697273872,3.49262359262
94,30,1.76073416222,2.10641738551
95,30,1.82486886012,2.07363011808
