cycle,count,mae,rmse
24,30,1.46255538307,1.72255197096
25,30,1.52708079478,1.87441631107
26,30,1.33836486058,1.70108528964
27,30,1.75079991894,2.30849976144
28,30,1.92203589327,2.29047021433
29,30,1.88016026356,2.4013675909
30,30,1.53454474538,1.83711051927
31,30,2.21352408203,2.81412900538
32,30,2.86233541205,3.42965780267
33,30,2.30266067823,2.86740075433
34,30,2.40129408849,2.8979257304
35,30,1.75677354829,2.3084397786
36,30,2.54466756267,3.32460755652
37,30,2.02269619877,3.03061915595
38,30,2.19337282856,3.45497602131
39,30,2.72567495213,3.78931942208
40,30,2.14443288204,2.83827452485
41,30,3.00515997096,4.03240954873
42,30,2.76619629855,3.4742787926
43,30,2.48481232133,3.02907052931
44,30,2.43800492933,3.16768889203
45,30,2.3446018518,2.97557702769
46,30,2.00764409873,2.66386346178
47,30,1.29133391628,1.64606349476
48,30,1.74138039455,2.21967856872
49,30,1.34168243444,1.72096855022
50,30,1.3731442967,1.6830092715
51,30,1.53790588254,1.9313519569
52,30,1.66896021718,1.97071740014
53,30,1.69253617147,2.00594047636
54,30,1.46876196734,1.82312103254
55,30,1.59449448789,2.20401684123
56,30,1.76749811395,2.30140768189
57,30,2.51209219646,3.29403875782
58,30,2.67693371762,3.3604450408
59,30,2.62199690291,3.41802964253
60,30,2.64640108333,3.32921230351
61,30,1.95636604593,2.70266232029
62,30,2.07182310917,2.78393572466
63,30,3.40953687999,4.17176343648
64,30,2.70525411955,3.52421860759
65,30,2.31852806691,3.48762185142
66,30,3.11637103257,3.88428877542
67,30,2.51887547578,3.64883782754
68,30,2.02358503938,2.41373300195
69,30,2.26770235314,3.00719492654
70,30,1.6390449288,2.20800536148
71,30,1.98394484864,2.34749405849
72,30,1.13985780043,1.61575095094
73,30,1.40528426538,1.71332665751
74,30,1.5057804822,1.82832105783
75,30,1.44449212452,1.77909949454
76,30,2.00679107997,2.31459156994
77,30,1.93475887711,2.50239940174
78,30,1.60243611096,2.06478802338
79,30,1.54844755239,1.87004945014
80,30,1.45751401136,1.99195967632
81,30,1.78664516472,2.43082206432
82,30,1.89072838575,2.62114912598
83,30,2.33351088053,3.04845667052
84,30,1.72539598848,2.35953659589
85,30,2.12126178157,2.82715670612
86,30,2.09649431639,2.85897436692
87,30,2.89075195259,3.69671469139
88,30,2.03422003862,3.0681632751
89,30,2.6457447145,3.80349647636
90,30,2.60635909353,3.66308669492
91,30,2.69420688876,3.77010729823
92,30,2.48312643912,3.40142319864
93,30,2.39427777171,3.11443344399
94,30,1.90900565867,2.23446886727
95,30,1.34569474159,1.69931670651
