cycle,count,mae,rmse
24,30,0.699662139969,0.949160591432
25,30,0.734407895532,0.96344261212
26,30,0.736837910011,1.00488103238
27,30,1.03890464627,1.38335773706
28,30,0.920976330783,1.32992284369
29,30,1.09404249271,1.45560544981
30,30,1.03029231353,1.37783438152
31,30,1.87338436662,2.47319090201
32,30,1.76919223236,2.65806443273
33,30,2.09004467925,2.7750560951
34,30,1.67308727487,2.3602064924
35,30,1.40080152374,2.0268071483
36,30,1.39842052177,1.85412075547
37,30,3.9567798016,5.49478946381
38,30,1.86916190135,2.86128750772
39,30,2.01551890818,2.80719671345
40,30,1.91121232299,2.69421873442
41,30,2.26378393218,2.95899008742
42,30,2.06643999428,2.69984631266
43,30,2.38582311366,2.89976460996
44,30,2.35891376368,3.11714751884
45,30,1.9675552774,2.48342959633
46,30,2.3406977519,3.28035763109
47,30,0.851779938973,1.21371965066
48,30,0.960285564125,1.83203244987
49,30,0.778452788265,1.13135799437
50,30,0.792339736652,1.13096071925
51,30,0.831938614725,1.03564977241
52,30,0.801463843234,1.2412002158
53,30,1.0085688998,1.39202920227
54,30,1.01621269244,1.50613142617
55,30,1.06415989004,1.45462710133
56,30,1.64009615251,2.29136700179
57,30,2.54307747984,3.27852746525
58,30,2.63272957525,3.46513813594
59,30,2.47278923468,3.23691210834
60,30,2.27379567474,3.23793941973
61,30,1.98480038368,2.60898241864
62,30,2.4030291176,3.2646000278
63,30,2.37145014991,3.32602939638
64,30,2.63489485709,3.86279290456
65,30,2.18808008134,3.08789935957
66,30,2.91288002236,3.98125228164
67,30,2.70544355784,3.31163212894
68,30,1.44484637738,1.90995586273
69,30,1.84773624595,2.72817266683
70,30,1.43841697687,1.97756083922
71,30,0.865734964842,1.29670975819
72,30,1.17828567743,1.65684283415
73,30,0.927311152717,1.29047624845
74,30,1.02608404191,1.43418799047
75,30,1.03597122682,1.38301394931
76,30,1.0409573519,1.43125376177
77,30,1.06365055252,1.41902950748
78,30,0.853075118413,1.40179178812
79,30,0.851662893441,1.1830589404
80,30,0.952788755172,1.44653727588
81,30,1.76378563239,2.53117162957
82,30,2.84151671054,3.60844986561
83,30,1.87644963033,2.54451392065
84,30,1.46574039865,1.88761719635
85,30,1.54095267669,2.08673079008
86,30,2.04165720869,2.79660146405
87,30,2.74656452644,3.6314338459
88,30,2.94531108214,3.90124690865
89,30,3.42946571495,4.47067680502
90,30,2.71377134549,3.86119246841
91,30,2.49820266345,3.97216121471
92,30,2.6174447482,3.98646538639
93,30,2.35239575603,2.92569468789
94,30,1.28154364623,1.77283181518
95,30,0.824971989711,1.34618623981
