cycle,count,mae,rmse
24,20,1.22135759228,1.55635026983
25,20,1.23030579931,1.51681445421
26,20,1.36256313667,1.73053303269
27,20,1.30167251802,1.69266565737
28,20,1.46699701014,1.88675495292
29,20,2.00491592231,2.35789990975
30,20,1.55426508911,1.90780399956
31,20,2.12418501529,2.89989359209
32,20,2.37752515914,3.1296882767
33,20,3.20878615675,3.99373719757
34,20,2.10127998301,2.82683237546
35,20,2.87507607226,3.63112940483
36,20,1.55847464041,1.94627577718
37,20,2.45917717118,3.22618819328
38,20,3.19679873348,3.86443367208
39,20,2.62572036548,3.41496422305
40,20,2.73328963965,3.60894716626
41,20,2.96327068548,4.08291448328
42,20,2.48043620175,3.15864459728
43,20,2.58387065976,3.26597726137
44,20,3.02058895792,3.702557914
45,20,2.16065130478,2.84280798943
46,20,2.2541941267,2.77780752002
47,20,1.31456271236,1.68761347458
48,20,1.89913522527,2.541651571
49,20,1.66638319897,2.05392480832
50,20,1.39771974878,1.77916579337
51,20,1.33563834106,1.65532909541
52,20,1.3654962368,1.75095310481
53,20,2.08390646541,2.38366439004
54,20,2.07234910141,2.57100685876
55,20,1.53229382902,1.93642465867
56,20,1.72298540141,2.28946305011
57,20,2.74479668538,3.49221509487
58,20,2.81913588125,3.49349362702
59,20,2.65405057219,3.2749821909
60,20,2.41884475576,3.29858388335
61,20,2.05775310132,2.81938097074
62,20,2.17354688959,2.96309612421
63,20,3.62151384839,4.45310445034
64,20,2.10349521299,3.13586165373
65,20,2.32905863546,3.57257789996
66,20,3.45309197947,4.62259932707
67,20,3.19167861863,3.94902642693
68,20,2.0851389965,2.67904046961
69,20,2.05350960417,2.88328738674
70,20,1.9582261088,2.49531397618
71,20,1.31556116038,1.63193458779
72,20,1.45174939009,1.88500934252
73,20,1.6345665891,2.12551072494
74,20,1.82243757449,2.42893470395
75,20,1.97793403121,2.26953941524
76,20,2.3490703625,2.79434061002
77,20,1.53653515225,2.03306698394
78,20,1.45796424094,1.89819284826
79,20,1.34003137775,1.71997318721
80,20,1.70810933284,2.31964671009
81,20,1.75704036259,2.27208970617
82,20,2.03104507962,2.8823317842
83,20,2.10500907285,2.80479688851
84,20,1.80064218559,2.39656983396
85,20,1.86795119581,2.33136793868
86,20,2.35160894676,3.40633508564
87,20,5.03048811946,6.59645806158
88,20,3.73934054168,5.23942621695
89,20,2.8105950907,3.90798442206
90,20,3.15586721263,4.53446358787
91,20,2.93340433818,4.2122481272
92,20,2.59366067063,4.04682946199
93,20,2.68221347932,3.59546360701
94,20,1.32419617714,1.8109875106
95,20,1.83301971237,2.23784830176
