cycle,count,mae,rmse
24,150,1.55394046229,1.93867874085
25,150,1.63371410759,2.00490225448
26,150,1.57029856916,1.97438311028
27,150,1.53498219126,1.91308274042
28,150,1.67161706277,2.07260877477
29,150,1.70962207999,2.08714110045
30,150,1.48966839123,1.94154729922
31,150,1.85006780715,2.7879722347
32,150,2.24509733395,3.17332246046
33,150,1.57972436642,2.23574762801
34,150,1.71983999312,2.39186953158
35,150,1.45486644309,2.1175714215
36,150,1.77226335162,2.5208578435
37,150,1.64869634393,2.6442037957
38,150,1.92911795425,2.82329905363
39,150,1.88883633728,2.8173605219
40,150,2.19726223881,3.12572903534
41,150,2.05681368565,2.95680139903
42,150,2.42031502133,3.24475600446
43,150,2.0993715513,3.03441238264
44,150,2.04201556793,2.97267358129
45,150,1.9456598455,2.64198405453
46,150,1.50106057038,2.107055483
47,150,1.32686322033,1.64612691211
48,150,1.71360734832,2.21978596428
49,150,1.49661892284,1.88661858317
50,150,1.55141849501,1.89227246213
51,150,1.63493205313,1.97191812933
52,150,1.66040367814,2.07062330388
53,150,1.84633510032,2.22185003119
54,150,1.59988224932,1.98038719445
55,150,1.30275337407,1.64010237101
56,150,1.47846712789,2.06055384292
57,150,1.64108138024,2.40211098532
58,150,1.97658270024,2.85195004161
59,150,1.81218269255,2.53023605701
60,150,1.83189238922,2.68374913797
61,150,1.67323947298,2.29932076245
62,150,1.74496453452,2.49298357529
63,150,1.95422560764,2.86825232558
64,150,1.81531503529,2.70712894568
65,150,1.9543677301,2.82543588046
66,150,2.23488416693,3.10031138342
67,150,1.81856926221,2.68469719547
68,150,1.32906375175,1.90227021068
69,150,1.43823417668,2.09363871638
70,150,1.33573251765,1.75025821643
71,150,1.44102814226,1.8190101394
72,150,1.44576471836,1.88482651875
73,150,1.39359346214,1.74007900977
74,150,1.61283621485,2.09233070122
75,150,1.68877560211,2.09199150414
76,150,1.71416370046,2.13312909178
77,150,1.83734293919,2.25909101108
78,150,1.45375399007,1.81823677857
79,150,1.36649841711,1.74252811172
80,150,1.27222407382,1.78033691804
81,150,1.22539534872,1.74103708118
82,150,1.56210165892,2.18201605359
83,150,1.69728050341,2.33058671105
84,150,1.34498095712,1.81377809294
85,150,1.39134297021,1.998551149
86,150,1.88553585148,2.82753936368
87,150,2.09498278274,2.88483193689
88,150,1.73951490015,2.67350736376
89,150,1.93889686188,2.88763678445
90,150,1.79864908545,2.69775192616
91,150,1.64008794879,2.53130109719
92,150,1.3575185961,2.27942596726
93,150,1.76876153437,2.58012110198
94,150,1.33556514961,1.6891300278
95,150,1.36496179669,1.72131985479
