cycle,count,mae,rmse
5,150,4.76190031741,5.61854932975
6,150,4.23567390988,5.03531831063
7,150,3.97337155934,4.95367986001
8,150,3.63239297201,4.5060157794
9,150,3.34902692438,4.29095599754
10,150,2.81551408288,3.58629774641
11,150,2.90863060915,3.59552235938
12,150,3.07241307843,3.92450115247
13,150,2.55823121258,3.37144283799
14,150,2.75620134682,3.61038956751
15,150,2.79984462307,3.68727164207
16,150,2.83703901249,3.58517514489
17,150,3.10847143888,3.94462361239
18,150,2.99603127269,3.87833849672
19,150,2.84535070988,3.69586736696
20,150,1.97357459125,2.54909190558
21,150,2.11267673907,2.80009792806
22,150,1.93382728948,2.60904971178
23,150,2.13290417443,2.83593203626
24,150,2.47716776395,3.27921042844
25,150,2.67262192835,3.67418737958
26,150,2.51332365606,3.32324260188
27,150,2.90955962556,3.81697938512
28,150,2.6444241736,3.44856122309
29,150,2.20929080987,2.88024376124
30,150,1.95970007545,2.5275539504
31,150,2.14695340028,3.09817016399
32,150,2.44757807814,3.3051493003
33,150,2.23274138457,3.10694072961
34,150,2.19560290331,2.98804980964
35,150,2.14326333314,2.90424454864
36,150,2.29181504032,3.16659195127
37,150,2.12377713586,2.94342556172
38,150,2.37707840837,3.24388192723
39,150,2.32819352347,3.18832474424
40,150,2.32720832636,3.09128957715
41,150,2.58716807821,3.36810193099
42,150,2.71621202516,3.54402377026
43,150,2.29215206794,3.16271397594
44,150,2.26055717803,3.14602538654
45,150,2.18175791621,2.88704379191
46,150,1.85853561768,2.55476878463
47,150,1.73203748292,2.29128147036
48,150,1.94671496819,2.59038936907
49,150,1.83615920316,2.51943052694
50,150,1.81521511235,2.42499045539
51,150,1.93380859002,2.60236806559
52,150,1.93937402424,2.60222424906
53,150,1.73188660025,2.22850898248
54,150,1.71868959502,2.37974444412
55,150,1.56000369767,2.05256177627
56,150,1.75375578567,2.44170444605
57,150,1.79501932387,2.59324608442
58,150,2.03256399526,2.81345323329
59,150,1.88982079848,2.58524135595
60,150,1.85597383274,2.67684020175
61,150,1.85422247806,2.5890052033
62,150,1.97732025335,2.74800936801
63,150,2.1271349276,3.00048729229
64,150,2.07378568853,2.90707219272
65,150,2.05509485443,2.8346486811
66,150,2.53240842325,3.42299346431
67,150,1.8638115894,2.65737947457
68,150,1.53470693359,2.10745300281
69,150,1.79039744828,2.47935139366
70,150,1.66231805642,2.21882719232
71,150,1.34791910231,1.78592622768
72,150,1.6830986727,2.20845845765
73,150,1.49155244813,2.02378821213
74,150,1.56442560348,2.1449043685
75,150,1.58443035977,2.07428751069
76,150,1.64488175507,2.17727838588
77,150,2.01249702354,2.55788962302
78,150,1.47738758184,1.90355333564
79,150,1.43667884216,1.87098596874
80,150,1.36592970463,1.84090602329
81,150,1.37900716152,1.92369443234
82,150,1.72286862861,2.41498704143
83,150,1.79584836243,2.50160769876
84,150,1.53347679784,2.13148878007
85,150,1.58339654549,2.2585642939
86,150,1.77536242447,2.55833272893
87,150,1.94459457807,2.82258800893
88,150,1.75344665292,2.51642276137
89,150,1.93723490893,2.825214323
90,150,1.89142522078,2.75326282969
91,150,1.90924385694,2.64737074708
92,150,1.62465548712,2.47107379674
93,150,1.80476055864,2.73314816559
94,150,1.33148611374,1.83388346809
95,150,1.48677837303,1.94559499899
