cycle,count,mae,rmse
24,150,1.27637469757,1.6702452747
25,150,1.72812305491,2.18969084166
26,150,1.64143670753,2.04468654568
27,150,1.63328369275,2.07007887025
28,150,1.78108777937,2.15350746011
29,150,1.7692417254,2.13672263053
30,150,1.5793426577,2.03446061038
31,150,1.94568038398,2.80367077225
32,150,1.99960894545,2.74690517334
33,150,1.75052921647,2.47844092144
34,150,1.82390521553,2.51816486777
35,150,1.58117998357,2.2047167948
36,150,1.81187721715,2.51022400709
37,150,1.50450112818,2.45088714699
38,150,1.76192465167,2.73090657949
39,150,2.05915261925,2.96966762358
40,150,2.19404312603,3.07458923978
41,150,2.11506656125,2.97673590446
42,150,2.28247633141,3.1669963333
43,150,1.96700284458,2.90446995619
44,150,2.07360711256,2.99094843622
45,150,1.92521947837,2.72030025547
46,150,1.50532607176,2.05106544287
47,150,1.37018325158,1.72877208467
48,150,1.63509710451,2.14219794791
49,150,1.76804952085,2.27216319686
50,150,1.54636584253,1.89152704323
51,150,1.60121544193,1.95489893296
52,150,1.5892726785,1.96734402454
53,150,1.54518170994,1.92239557403
54,150,1.55981720218,1.93909760536
55,150,1.35488613331,1.73629970106
56,150,1.53747069762,2.18877115543
57,150,1.5651957022,2.33844959221
58,150,1.97822299912,2.83494936346
59,150,1.90522248279,2.73372279099
60,150,1.77880854076,2.6365942963
61,150,1.57561633654,2.17636028191
62,150,1.79868801788,2.52875416425
63,150,1.96974232177,2.81367489382
64,150,1.9056415317,2.80551155016
65,150,1.88732227371,2.84212161947
66,150,2.29923065267,3.18694821583
67,150,1.79050659348,2.70955528824
68,150,1.19698688047,1.727163757
69,150,1.38718888238,2.0716717136
70,150,1.47509027761,1.91234970977
71,150,1.22822582389,1.55759018665
72,150,1.5290131126,1.93092627688
73,150,1.7343435251,2.16278182998
74,150,1.69954153895,2.12443296932
75,150,1.60990418515,2.06675046939
76,150,1.74051485398,2.1904159193
77,150,1.68451055717,2.06639668187
78,150,1.60910544634,1.99600418616
79,150,1.38780961043,1.76785971666
80,150,1.21013188546,1.61861703745
81,150,1.24965165825,1.78356837288
82,150,1.68857839634,2.35967927456
83,150,1.63024859795,2.23298190568
84,150,1.32915541146,1.81130891007
85,150,1.37175015027,2.02633178121
86,150,1.72630410358,2.60850425942
87,150,2.09329673637,3.051168513
88,150,1.79969708095,2.77637052925
89,150,1.86366353677,2.80598968206
90,150,1.74817375334,2.69665686056
91,150,1.68187400669,2.58696324044
92,150,1.50404713269,2.35702570483
93,150,1.74622576331,2.505217933
94,150,1.18017618924,1.5707163506
95,150,1.52940787551,1.93722840796
