cycle,count,mae,accuracy
50,15,13.2006355609,0.833333333333
51,15,14.5843425616,0.833333333333
52,15,14.1680139256,0.888888888889
53,15,10.2762361485,0.944444444444
54,15,8.9467726951,0.972222222222
55,15,7.96101970682,0.888888888889
56,15,10.3256240409,0.861111111111
57,15,10.7666090662,0.888888888889
58,15,11.9341442054,0.805555555556
59,15,9.44042222592,0.833333333333
60,15,10.5956274401,0.861111111111
61,15,11.1888617278,0.833333333333
62,15,12.6843212677,0.805555555556
63,15,13.3100973826,0.75
64,15,12.2879902952,0.638888888889
65,15,9.71933894002,0.75
66,15,13.335470564,0.777777777778
67,15,13.1616983075,0.861111111111
68,15,15.1347982803,0.722222222222
69,15,21.8938442631,0.583333333333
70,15,16.0022503934,0.611111111111
71,15,15.3694396617,0.833333333333
72,15,13.6638425796,0.75
73,15,15.7577049557,0.694444444444
74,15,19.1029913728,0.833333333333
75,15,15.1001982415,0.722222222222
76,15,20.2251091516,0.638888888889
77,15,19.8009933591,0.583333333333
78,15,20.2033044006,0.638888888889
79,15,15.9790524739,0.694444444444
80,15,14.7049126055,0.805555555556
81,15,18.7850755954,0.583333333333
82,15,23.8606542761,0.611111111111
83,15,22.4554623387,0.583333333333
84,15,27.4626494597,0.527777777778
85,15,22.0129139719,0.694444444444
86,15,16.8100209802,0.777777777778
87,15,13.9320459331,0.861111111111
88,15,9.26888024713,0.916666666667
89,15,11.2510404749,0.777777777778
90,15,11.8325987422,0.833333333333
91,15,21.7595384834,0.444444444444
92,15,25.0225361374,0.583333333333
93,15,27.0924189764,0.583333333333
94,15,24.6921311417,0.527777777778
95,15,22.4304811459,0.527777777778
96,15,20.1032710171,0.611111111111
97,15,22.8048601351,0.472222222222
98,15,13.614070971,0.805555555556
99,15,14.2301878973,0.805555555556
100,15,15.3698828116,0.722222222222
101,15,20.3295087713,0.583333333333
102,15,19.2249719542,0.611111111111
103,15,14.2466670963,0.666666666667
104,15,17.6522541155,0.611111111111
105,15,14.289784553,0.722222222222
106,15,23.2802457108,0.666666666667
107,15,21.4271874389,0.777777777778
108,15,21.0650322946,0.861111111111
109,15,20.3849658081,0.916666666667
110,15,23.6750644366,0.888888888889
111,15,29.3987892889,0.833333333333
112,15,24.7782119456,0.916666666667
113,15,27.9818040018,0.972222222222
114,15,24.4823725228,0.972222222222
115,15,19.8435844088,0.972222222222
116,15,24.7492227348,1.0
117,15,32.7930380339,1.0
118,15,61.4415144042,1.0
119,15,25.0071966106,0.972222222222
120,15,25.7865985354,0.972222222222
121,15,24.4605525021,0.944444444444
122,15,31.8788697351,0.916666666667
123,15,35.4673322179,0.888888888889
124,15,71.4349898138,0.472222222222
125,15,55.0682304238,0.666666666667
126,15,57.0563848845,0.416666666667
127,15,46.0632640166,0.638888888889
128,15,30.5215204666,0.75
129,15,9.45914080627,0.944444444444
130,15,23.1533152775,0.805555555556
131,15,19.5897098268,0.833333333333
132,15,13.1036629409,0.888888888889
133,15,10.9197590073,0.916666666667
134,15,13.013142448,0.861111111111
135,15,11.1323584909,0.861111111111
136,15,17.2223953122,0.638888888889
137,15,14.864315686,0.722222222222
138,15,23.3108632036,0.611111111111
139,15,19.1979119513,0.638888888889
140,15,26.0832837442,0.388888888889
141,15,43.1347818868,0.555555555556
142,15,44.2849347743,0.444444444444
143,15,27.8065983406,0.583333333333
144,15,15.2705479515,0.722222222222
145,15,20.0508961181,0.611111111111
146,15,22.3406427934,0.611111111111
147,15,15.542131569,0.694444444444
148,15,21.8244819654,0.722222222222
149,15,23.9064350157,0.611111111111
150,15,16.6050499637,0.722222222222
151,15,22.8457636334,0.666666666667
152,15,18.8794049581,0.666666666667
153,15,27.9908461245,0.611111111111
154,15,23.7217559202,0.583333333333
155,15,29.7510484278,0.638888888889
156,15,33.9242614584,0.444444444444
157,15,29.5726091728,0.472222222222
158,15,24.6369832529,0.694444444444
159,15,22.7742946501,0.555555555556
160,15,25.1794718813,0.611111111111
161,15,21.2780425364,0.666666666667
162,15,20.0357570561,0.694444444444
163,15,25.1636705262,0.5
164,15,29.573714302,0.527777777778
165,15,44.014334047,0.527777777778
166,15,37.1458256114,0.611111111111
167,15,24.4094504185,0.722222222222
168,15,32.7983255683,0.694444444444
169,15,26.5010695973,0.833333333333
170,15,28.9864965541,0.722222222222
171,15,21.4921917136,0.75
172,15,21.5192620602,0.805555555556
173,15,22.4774033926,0.805555555556
174,15,33.0629063245,0.555555555556
175,15,37.1223285448,0.555555555556
176,15,30.1983677391,0.527777777778
177,15,23.9853778262,0.5
178,15,18.5154771458,0.666666666667
179,15,15.183861388,0.833333333333
180,15,10.1665460761,0.944444444444
181,15,6.59115824478,0.972222222222
182,15,5.2811721349,1.0
183,15,3.42246775366,1.0
184,15,4.3733661302,1.0
185,15,3.1056082493,1.0
186,15,3.98270235211,1.0
187,15,3.35160892393,1.0
188,15,3.7538117511,1.0
189,15,3.85606570323,1.0
190,15,3.53682997321,1.0
191,15,5.5892024038,1.0
192,15,5.16274508931,1.0
193,15,9.01256745883,0.972222222222
194,15,8.20523402223,0.944444444444
195,15,8.98196634108,0.944444444444
196,15,13.5523562058,0.861111111111
197,15,10.0782488451,0.944444444444
198,15,11.5230179705,0.861111111111
199,15,13.8193510885,0.888888888889
200,15,13.6864271823,0.861111111111
201,15,10.7852927647,0.944444444444
202,15,20.2390401794,0.777777777778
203,15,12.4465684668,0.861111111111
204,15,7.19028040996,0.944444444444
205,15,8.67257229859,0.944444444444
206,15,4.74178936242,1.0
207,15,4.41770715531,1.0
